"","song","artist","lyrics"
"42","Austin","Dasha","  We had a plan, move out of this town, baby West to the sand, it's all we talked about lately I'd pack the car, bring your guitar and Jane for smokin' First thing at dawn, you'd queue the songs and we'd get goin' But you weren't home, waited on the porch for ya Sat there alone, all throughout the morn' 'til I Got a hunch down in my gut and snuck around the back Empty cans and I'll be damned, your shit was never packed    Did your boots stop workin'? Did your truck break down? (Truck break down) Did you burn through money? Did your ex find out? (Ex find out) Where there's a will, then there's a way, and I'm damn sure you lost it Didn't even say goodbye, just wish I knew what caused it Was the whiskey flowin'? Were you in a fight? (In a fight) Did the nerves come get you? What's your alibi? (Alibi) I made my way back to LA, and that's where you'll be forgotten In forty years, you'll still be here, drunk washed up in Austin    Hell of a bluff, you had me believin' How many months did you plan on leavin'? What happened? Bad habits? Did you go back? Go batshit? I loved you, how tragic, oh-oh   Did your boots stop workin'? Did your truck break down? (Truck break down) Did you burn through money? Did your ex find out? (Ex find out) Where there's a will, then there's a way, and I'm damn sure you lost it Didn't even say goodbye, just wish I knew what caused it Was the whiskey flowin'? Were you in a fight? (In a fight) Did the nerves come get you? What's your alibi? (Alibi) I made my way back to LA, and that's where you'll be forgotten In forty years, you'll still be here, drunk washed up in Austin    (Did your truck break down? Did your ex find out?)"
"43","Darling, I","Tyler, The Creator Featuring Teezo Touchdown",NA
"44","Pink Pony Club","Chappell Roan","  I know you wanted me to stay But I can't ignore the crazy visions of me in L.A.  And I heard that there's a special place Where boys and girls can all be queens every single day    I'm having wicked dreams of leaving Tennessee Hear Santa Monica, I swear it's calling me Won't make my mama proud, it's gonna cause a scene She sees her baby girl, I know she's gonna scream    ""God, what have you done? You're a pink pony girl, and you dance at the club,"" oh mama I'm just having fun On the stage in my heels, it's where I belong, down at the    Pink Pony Club, I'm gonna keep on dancing at the Pink Pony Club, I'm gonna keep on dancing down in West Hollywood, I'm gonna keep on dancing at the Pink Pony Club, Pink Pony Club    I'm up and jaws are on the floor Lovers in the bathroom and a line outside the door Black lights and a mirrored disco ball Every night's another reason why I left it all   I thank my wicked dreams, a year from Tennessee Oh, Santa Monica, you've been too good to me Won't make my mama proud, it's gonna cause a scene She sees her baby girl, I know she's gonna scream    ""God, what have you done? You're a pink pony girl, and you dance at the club,"" oh mama I'm just having fun On the stage in my heels, it's where I belong, down at the    Pink Pony Club, I'm gonna keep on dancing at the Pink Pony Club, I'm gonna keep on dancing down in West Hollywood, I'm gonna keep on dancing at the Pink Pony Club, Pink Pony Club       Don't think I've left you all behind Still love you and Tennessee You're always on my mind And mama, every Saturday I can hear your southern drawl a thousand miles away, saying   ""God, what have you done? You're a pink pony girl, and you dance at the club,"" oh mama I'm just having fun On the stage in my heels, it's where I belong, down at the    Pink Pony Club, I'm gonna keep on dancing at the Pink Pony Club, I'm gonna keep on dancing down in West Hollywood, I'm gonna keep on dancing at the Pink Pony Club, Pink Pony Club       I'm gonna keep on dancing I'm gonna keep on dancing"
"45","Who","Jimin","  We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for?    If every day I think about her Yeah, every day of my life Then tell me why I haven't found her (Why, why, why, why, why?)    There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love    We nevеr met, but she's all I see at night Nevеr met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for?    I'll take her places they ain't found yet I'll put it all on the line I'll be that someone she can count on One, two, three, four, five   There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love    We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for?    (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my—) Who is my heart waiting for?    We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for?"
"46","Like Him","Tyler, The Creator Featuring Lola Young",NA
"47","Help Me","Real Boston Richey","  At this point, it's like I'm beggin' Shit, if I gotta fight for love, then, shit It's like I don't even, I don't even want it (Known to let that MAC fly just like my nigga Doe, bah) Help me Baby, can you help me? Baby, can you help me? Baby, can you help me?    I'm tryna get my life together, leave these hoes alone Pray to God I can leave the streets, this thuggin' shit gettin' more than old Baby, please don't leave, but every day, her hеart get more than cold I'm tired of pipin' thеse bitches up, on top of shit like provolone I'm tryna run my digits up, at the same time, watch what them crackers on Bitch, I call, you ain't pickin' up, what the fuck these hoes be on? I just went bought fourteen acres, used to stay up in the mobile homes Need a bad bitch with low body count to put my focus on Nigga, he tried to end my career, truth be told, I don't fuck with holmes So many bad bitches up in here, which one of them I'm takin' home? Bitch, I'm ballin' on all these niggas, same court that the Lakers on I'm more wealthy than all these niggas, baby girl, my paper long    Do you love me? Do you trust me? Say you got my back, but it's that paper got you wanna fuck me Can I keep it real for a second, baby? Would you judge me? I can't lie, I ain't been the same ever since them niggas stuck me That shit corrupt me I'ma get that get-back even if I get life, trust me 'Til the end, nigga, I'm kicked back in the cut poppin' up on bubbly Look your nigga in the eyes and tell him I say he can't fuck with me If I take her to my house, stick it in, that lil' bitch stuck with me   Lil' bitch playin' mind games, tryna trick my mindframe You block me, bitch, I won't call you back, I promise it's just a mind thing In that Hellcat, hit the gas, you hear that whine, ain't it? Upped a hundred pack, I'm talkin' way before I got signed, baby Why I ain't got no hit song yet? 'Cause I guess it ain't my time yet Promise to stay down with this shit until my eyes go blind, yeah Told you, bitch, I'm done with all that cheatin', stop that cryin', yeah Same shit I said the last time, but I ain't done yet Fuckin' another bitch, I told you I'm out here gettin' mon', yeah Told you I'm on the way, but I'm still fuckin', bitch, I ain't cum yet Bought you another whip, but you just speak on what I ain't done yet Yeah, I cheated on you, but you were the realest bitch, I love that    Do you love me? Do you trust me? Say you got my back, but it's that paper got you wanna fuck me Can I keep it real for a second, baby? Would you judge me? I can't lie, I ain't been the same ever since them niggas stuck me That shit corrupt me I'ma get that get-back even if I get life, trust me 'Til the end, nigga, I'm kicked back in the cut poppin' up on bubbly Look your nigga in the eyes and tell him I say he can't fuck with me If I take her to my house, stick it in, that lil' bitch stuck with me"
"48","Rah Tah Tah","Tyler, The Creator",NA
"49","This World's A Giant","Zach Bryan","  There's guitars ringin' out from the top floor of this house That I've learned to rest my soul inside Be still, be quiet, this world's a giant That I don't feel like facing tonight I don't have the words yet, I'll smoke a cigarette Even though she'll smell it on my breath I say I want kids even though I can't quit The things that make me childish    But it ain't all bad, the windows are cracked I came down to hear you laughin' in the kitchen, babe Let's pour some wine, there's still a little timе And maybe a little bit left in mе to save Be still, be quiet, the world's a giant And I ain't ever had myself a David's heart I'll say sorry to God for all the trouble I caused Maybe that's a good place for me to start    You're beholden to no holders, boy I heard breathin' in this world is the thief of joy You're better off fightin' than you are dead The time for rest ain't now 'cause the kids need fed The time for rest ain't now 'cause the kids need fed   Guitars ringin' out from the top of that house We used to rest our souls inside Nothing lasts, memories pass Think of home on an August night There's reasons to go, reasons to stay Just know you'll fear it all anyway Be still, be quiet, this world's a giant Maybe there's a little bit left to save    You're beholden to no holders, boy I heard breathin' in this world is the thief of joy You're better off fightin' than you are dead The time for rest ain't now 'cause the kids need fed The time for rest ain't now, the kids need fed"
"50","Kehlani","Jordan Adetunji","  (Wock) You got, you, you got potential You got, you, you got potential    I like the way your body is (I do), is that too obvious? Okay, I like your confidence (I do), oh, that's what good karma is, okay Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh) Here where the party is (Uh-huh), right here where the party is You 'bout to, you 'bout to start a whole fire, uh (Fire) Now I'm on fire, uh, I need some water, need Tyla, uh I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh I like the way that you get your own bag, you don't need no one help you inspire, huh    But I'ma add to you, I'ma givе you some bands, I'ma add to you (To you) Been on the avenuе and I ain't never seen no one bad as you (Nobody bad) Baby, I'm savage too, they can't disrespect you, I'll gladly shoot (Uh-huh) I don't play about mine, I don't care, I'm addicted to you and it's clear    I like the way your body is (I do), is that too obvious? Okay, I like your confidence (I do), oh, that's what good karma is, okay Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh) Here where the party is (Uh-huh), right here where the party is You 'bout to, you 'bout to start a whole fire, uh (Fire) Now I'm on fire, uh (Uh-huh), I need some water, need Tyla, uh (Uh-huh) I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh I like the way that you get your own bag, you don't need no one help you inspire, huh   Baby, let's make a movie (Let's make a movie) Come and seduce me (Uh-huh) Know that I'm choosy (Uh) I need to you to back it up Make it clap, that ain't fast enough You know I'm man enough And I don't play about it You know that I'm 'bout it    I like the way your body is (I do), is that too obvious? Okay, I like your confidence (I do), oh, that's what good karma is, okay Like-like Kehlani is (Uh-huh), bad just like Kehlani is, okay (Uh-huh) Here where the party is (Uh-huh), right here where the party is You 'bout to, you 'bout to start a whole fire, uh (Fire) Now I'm on fire, uh, I need some water, need Tyla, uh I need Romani, Rebecca, Serena, Selena, let's start a whole choir, uh I like the way that you get your own bag, you don't need no one help you inspire, huh    You got, you— You got, you—"
"51","Hard Fought Hallelujah","Brandon Lake","  Yeah, I don't always feel it But that's when I need it the most So I'ma keep on singing 'Til my soul catches up with my song There's times when my hands go up freely And times that it costs There's days when a praise comes out easy And days when it takes all the strength I've got    I'll bring my hard-fought heartfelt Been-through-hell hallelujah I'll bring my storm-tossed, torn-sail Story to tell hallelujah God, You've been patient God, You've been gracious Faithful whatever I'm feeling or facing So I'll bring my hard-fought, heartfelt It is well hallelujah Woah-oh-oh-oh Hallelujah, hallelujah    I've wrestled with the darkness But I'm trying to reach for the light Yeah, the struggle keeps me honest And it breaks down the walls of my pride 'Cause faith isn't proven like gold 'Til it's been through the fire Yeah, yeah My head, heart and hands are feeling heavy And that's when I lift them just a little higher   I'll bring my hard-fought, heartfelt, been-through-hell hallelujah I'll bring my storm-tossed, torn sail, story-to-tell hallelujah Woah-oh-oh-oh-oh God, You've been patient God, You've been gracious Faithful whatever I'm feeling or facing I'll bring my hard-fought, heartfelt, it-is-well hallelujah Woah-oh-oh-oh-oh Hallelujah, hallelujah    Mmmm, yeah Oh-oh-oh-oh-oh-woah Woah-oh-oh-oh Woah-oh-oh-woah Oh-oh-oh-woah Oh-oh-oh-oh Woah-oh-oh-oh-oh Woah-oh-oh-oh-oh Woah-oh-oh-oh-oh Woah-oh-oh-oh-oh Woah-oh-oh-oh-oh    I'll bring my hard-fought, heartfelt, been-through-hell hallelujah I'll bring my storm-tossed, torn sail, story-to-tell hallelujah Oh-oh-oh-oh-woah God, You've been patient God, You've been gracious Faithful whatever I'm feeling or facing So I'll bring my hard-fought, heartfelt, it-is-well hallelujah Oh, hallelujah   Mmmm, yeah, hallelujah Oh-oh-oh, oh-oh-oh Hallelujah, hallelujah, halle—, halle— Hallelujah"
"52","Dancing In The Flames","The Weeknd","  (Yeah)    Traffic dies while we are racin' home Melted lights cover the open road I hope we make it 'cause I've been chasin' Another odyssey, oh    I can't wait to see your face Crash when we're switchin' lanes My love's beyond the pain But if I miss the brake We're dancin' in the flames It's indescribable    Ooh, yeah    ""The world can't heal,"" they say on the radio (Oh, no) So grab the wheel, want you to be in control We're dodgin' headlights, and you say, ""Hold tight"" Another odyssey, oh (Hey)   I can't wait to see your face Crash when we're switchin' lanes My love's beyond the pain But if I miss the brake We're dancin' in the flames It's indescribable    Ooh (Indescribable), oh Ooh    Everything's faded, we barely made it The fire's ragin' but you're still beautiful And it's amazin' 'cause I can taste it Our final odyssey, oh    I can't (I can't) wait to see your face (Can't wait to see, ha) Crash when we're switchin' lanes My love's beyond the pain (Hey) But if I miss the brake We're dancin' in the flames (Dancin' in the flames) So just have faith (Just have faith in me) We'll never be the same (We'll never be, never be) It's indescribable   Ooh (Indescribable), oh, hey Ooh (Indescribable)"
"53","Beautiful As You","Thomas Rhett","  Baby girl, you out your mind, you're way too good for me Thinkin' 'bout the day we met, you coulda just ignored me Here I am, layin' next to you, lookin' extra cute in the mornin' Lookin' back, all through the past, everything before you was borin'    You're the type people wishin' they'd sit next to on a flight Top of list, who I wanna wash up on a island with You're the dream, even if we countin' girls in magazines It's still a mystery    What's someone as beautiful as you Doin' ridin' 'round with someone like me? I swear, girl, you could have anyonе you choose I should stop askin' questions 'fore you gеt up and leave What's someone as beautiful as you Doin' wakin' up with someone like me? Ain't gonna lie, you could have anyone you choose I should stop askin' questions 'fore you get up and leave    How someone as beautiful as you could just fall out of the blue? When you're walkin' 'round in my sweater, girl, there's no better view Spend the rest of forever just treasurin' you Ooh, I'll follow you wherever and you know that's the truth, yeah   You're the type people wishin' they'd sit next to on a flight Top of list, who I wanna spend like every second with You're the dream, even if we countin' girls up on the screen Still a mystery    What's someone as beautiful as you Doin' ridin' 'round with someone like me? I swear, girl, you could have anyone you choose I should stop askin' questions 'fore you get up and leave What's someone as beautiful as you Doin' wakin' up with someone like me? Ain't gonna lie, you could have anyone you choose I should stop askin' questions 'fore you get up and leave    I just had to let you know, know, yeah, yeah (Know, know, yeah, yeah) I could never let you go, go, yeah, yeah (Go, go, yeah, yeah) Oh, I just had to let you know, know, yeah, yeah (Know, know, yeah, yeah) I could never let you go, go, yeah, yeah (Go, go, yeah, yeah)    What's someone as beautiful as you Doin' wakin' up with someone like me? I swear, girl, you could have anyone you choose I should stop askin' questions 'fore you get up and leave"
"54","Dos Dias","Tito Double P & Peso Pluma","     Un, dos, tres Un, dos, tres    Unos tragos pa' la panza Ese periquito, la neta, nomás no se baja Ando atravesado porque no me dices qué pasa Dos días enojada, dos días que no me habla' Otra de tus payasadas Yo aquí con los panas y tú siempre de exagerada Cuando dices ""te quiero"", mija, nomás no te creo nada Todo lo que planeaba se nos fue a la chingada    Mira en qué me convertí Me encantan las pacas, me mama el dinero Baby, yo te lo advertí Que estando solito yo era un cagadero No fui yo, sino por ti Quе me hice adicto a andar en еsta loquera Guacha lo que conseguí Un chingo de culos y ni uno me llena   Ay, mamá Tito Double P, ah Así suena la puta Doble P, compa Tito Ay-ay-ay Chau    El polvo ya ni me pasa Me contestas a medias, mi niña, ya dime qué tranza Me acordé de las noches que chingamos allá en tu sala Pues pasé por tu casa y saludé a tu mamá    Mira en qué me convertí Me encantan las pacas, me mama el dinero Baby, yo te lo advertí Que estando solito yo era un cagadero No fui yo, sino por ti Que me hice adicto a andar en esta loquera Guacha lo que conseguí Un chingo de culos y ni uno me llena"
"55","It's Ok I'm Ok","Tate McRae","  Mm Yeah, uh    See you so excited (Mm) You got him locked down (Mmh, yeah) You're movin' like I did (Mm) Before I found out He ain't just a pretty-faced talker Good with his money, close to his mother You're seein' one-sided (Sided) You got him right now    And she be like, ""He's so perfect"" I be like, ""Oh, what version?"" ""Ain't nobody got me this nervous"" Oh baby, I been there (Hey) And right in that same position (Hey) So, baby, don't get this twisted (Hey) No, nothin' could make me miss it Take him, he's yours    It's okay, I'm okay, had him in the first place It's okay, I'm okay (I'm okay, yeah, yeah) It's okay, I'm okay, I don't really gotta say It's okay (Okay)   You can have him anyway (Way) Anyway (Way) You can have him anyway (Way) Anyway (Oh, oh, oh, oh)    Was such a romantic (Romantic) You got me like, ""Fuck that"" Some months and some long flights Now I can't go near that    And she be like, ""He's so perfect"" I be like, ""Oh, what version?"" ""Ain't nobody got me this nervous"" Oh baby, I've been there (Hey) And right in that same position (Hey) So, baby, don't get this twisted (Hey) No, nothin' could make me miss it Take him, he's yours    It's okay, I'm okay, had him in the first place It's okay, I'm okay (I'm okay) It's okay, I'm okay, I don't really gotta say It's okay (Okay)   You can have him anyway (Way) Anyway (Way) You can have him anyway (Way) Anyway (Way, way, way)    It's okay, I'm okay, had him in the first place It's okay, I'm okay (I'm okay, I'm okay) It's okay, I'm okay, I don't really gotta say (It's okay) It's okay    You can have him anyway (Anyway) Anyway (Anyway) You can have him anyway (Anyway) Anyway (Oh, oh, oh, oh)    I don't want him anyway, girl, take him I don't want him anyway, girl, take him I don't want him anyway, girl, take him (Girl, just take him) I don't want him (Yeah, I don't), I don't want him (Yeah, I don't) I don't want him (Anyway) anyway, girl, take him (Anyway) I don't want him (Anyway) anyway, girl, take him I don't, it's okay, it's okay, take him I don't want him (Yeah, I don't), I don't want him"
"56","Disease","Lady Gaga","  (Ah) (Ah)    There are no more tears to cry I heard you beggin' for life Runnin' out of medicine You're worse than you've ever been    (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight    I could play the doctor, I can cure your disease If you were a sinner, I could make you believe Lay you down like one, two, three Eyes roll back in ecstasy I can smell your sickness, I can cure ya (Cure) Cure your disease   You're so tortured when you sleep Plagued with all your memories You reach out, and no one's there Like a god without a prayer    (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight    I could play the doctor, I can cure your disease If you were a sinner, I could make you believe Lay you down like one, two, three Eyes roll back in ecstasy I can smell your sickness, I can cure ya (Cure) Cure your disease    (Ah) (Ah) Cure your disease (Ah) I can smell your sickness, I can cure ya   Bring me your desire, I can cure your disease If you were a sinner, I could make you believe Lay you down like one, two, three Eyes roll back in ecstasy I know all your secrets, I can cure ya, oh Cure your disease    (Ah) Cure your disease (Ah) Cure ya (Ah) I can smell your sickness, I can cure ya I can cure your disease (Ah) Cure your disease (Ah) Cure your disease (Ah) Ooh (Ah) Ooh"
"57","25","Rod Wave","  Uh, uh-uh, uh, uh Oh, do you do this often? I know it sound wrong, like, everything I left in Maryland I just don't wanna see myself anymore, I don't They, like, they say they miss me and shit, shut up, for real, like, man Look, 'kay    DJ, run it back, play my song in this bitch Vibin' like I'm alone in this bitch, mm Tit for tat, I got you back, was I wrong for that shit? Tell me, is we too grown for that shit? Uh I wanna lock it in, baby, no weighin' my options Wanna travel, see the world, gettin' drunk on an island Wanna settle, start a family, so tell me about it And you so perfect, baby, don't give nobody that body (Okay) Social anxiety, I fear And I done been this way for some years I don't really get along with my peers Everything that they do to me is weird So in a world full of weirdos, fools, and scrubs Tell me, what is it you're willin' to do for love? You know it's true that the datin' pool is fucked Ain't nobody out here, baby, it just be us And I know, and I know, and I know, and I know a broken heart when I see one And I feel, and I feel, and I feel, and I feel like I love you more Did you know? Do you know? Did you know? Do you know I'm a shoulder if you need one? When I feel what I feel, keep it real, what’s the deal? I'm ready for Go somewhere we could be alone, you and me alone I remember bein' twenty-one when my life had just begun Twenty-two, many things to see and do Twenty-three, lookin' forward to twenty-four Is it just me or it ain't no love no more? Twenty-five, what a time to be alive Am I getting old? Why do I feel tired? All the same old things, the same old games Same old pain, think it's time for a change 'cause Certain shit ain't like me no more Certain shit don't excite me no more It don't excite me no more, no It ain't like me no more No more, no more No, no, no, no, no Certain shit don't excite me no more It ain't like me no more This ain't like me no more, no It don't excite me no more, uh   Uh"
"58","I Never Lie","Zach Top","  Well, it's been some time You still look like an angel I heard you're doin' fine Got promoted back in April and you met someone Your dad says he's okay Well, I've never been better Things are going my way    I sleep like a baby I never show up late for work I don't drink whiskey I don't know how it feels to hurt Oh, and I ain't been lonely since you said goodbye I wish I could say I miss you But you know I never lie    Yeah, I met somebody too She's a model out in LA And she's begging me to move She's says Malibu is really great Ain't decided if I'm going or not But at the end of the day   I sleep like a baby I never show up late for work I don't drink whiskey I don't know how it feels to hurt Oh, and I ain't been lonely since you said goodbye Wish I could say I miss you But you know I never lie    Yeah, I've never been better Things are going my way    I sleep like a baby I never show up late for work Oh, and I don't drink whiskey I don't know how it feels to hurt Oh, and I ain't been lonely since you said goodbye Wish I could say I miss you Oh, but you know I never lie"
"59","Residuals","Chris Brown","  Don't know when my nights became so complicated Can’t recall my mornings ever being this faded Maybe this is karma, definition of jaded, oh This stays on my mind, this stays on my mind Tryna put a muzzle on my crazy feelings One minute I'm cool and then the next, I'm tripping, no With somebody new, I swear she don’t deserve this Wasted on my mind, she still on my mind    Do we build it up, build it up Just to let it wash away? Tell me did I lace you up, lace you up Just to watch you run away?    Please tell me who Who's getting all my love? (Love) Who's getting all my love? Tell me who Who's getting all my time? All of that used to be mine, oh Who did you teach what I taught ya? (Oh) Better not give him my nickname I don't like thinking about it I swear that it's wearing me down, no But tell me who Who's getting all of my? Who's getting all of my residuals?   (Who) Who’s getting all of my? Who’s getting all of my residuals? (Who) Who's getting all of my? Who’s getting all of my residuals?    Made it clear you didn't wanna see the sequel I was lying when I said the feeling's mutual, oh It took some time to realize that we're different people And love is blind, I see love is blind    Do we build it up, build it up Just to let it wash away? And tell me did I lace you up, lace you up Just to watch you run away?    Please tell me who Who’s getting all my love? (Who's getting? Love) Who's getting all my love? (My love) And tell me who Who's getting all my time? (My time, no) All of that used to be mine, oh (Believe it) Who did you teach what I taught ya? (Oh) Better not give him my nickname I don't like thinking about it I swear that it's wearing me down, no But tell me who (So tell me who, yeah) Who's getting all of my? (My) Who's getting all of my (Oh) residuals?   (Who) (Who)"
"60","Thought I Was Dead","Tyler, The Creator Featuring ScHoolboy Q & Santigold",NA
"61","Heart Of A Woman","Summer Walker","  Only thing that's saving you (Oh-oh) Is the heart of a woman Yeah Only thing that's saving you, oh Is the heart of a woman Hey, yeah    Question is, why I do the things I do? Answer I may never find, but I'll always choose you Wanna give up on you but, damn, I know I can't I put the blame on me for giving you chance after chance    In love with you, but can't stand your ways And I try to be strong But how much can I take? Put your words on your life this time And I hope your ass ain't lyin’ ‘cause    Only thing that's saving you (Oh-oh) Is the heart of a woman Yeah, oh-yeah Only thing that's saving you Is the heart of a woman Yeah-yeah   It's my mind and my soul versus your pride Nigga, check your ego 'cause I left mine at thе door Just because I let it slidе Drowning in all my emotions I let you slide in this ocean I'm in    In love with you but can't stand your ways And I try to be strong But how much can I take? Put your words on your life this time And I hope your ass ain't lyin’ 'cause    Only thing that's saving you (No, I can't take it no more) (l'm bound to walk out the door) Is the heart of a woman Oh-oh, oh-oh Oh-oh-oh-oh, oh-oh, oh Only thing that's saving you Is the heart of a woman Ah, ah"
"62","+57","Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd",NA
"63","I'm Gonna Love You","Cody Johnson & Carrie Underwood","  Stars are gonna light up the midnight sky The sun's gonna burn on the fourth of July Tides are gonna turn with the pull of the moon And I'm gonna love you    Birds are flyin' south when the winter comes Snow's gonna fall, and rivers gonna run April's gonna rain, and flowers gonna bloom And I'm gonna love you    So good that it almost hurts Steady and true as a Bible verse My heart skips just thinkin' of you Go on and bet it all, baby, we can't lose    Earth's gonna shake every now and then Some runaway roads are gonna dead end And on those days when the world feels cruel I'm gonna love you, yeah    Ooh-mmh   So good that it almost hurts Steady and true as a Biblе verse My heart skips just thinkin' of you Go on and bеt it all, baby, we can't lose    Time's gonna put a few lines on our face We can cover it up, but hair's gonna gray Life's gonna fly and be gone too soon And I'm gonna love you Baby, I'm gonna love you"
"64","Juno","Sabrina Carpenter","  (Ooh, ah-ah, ooh)    Don't have to tell your hot ass a thing Oh yeah, you just get it Whole package, babe, I like the way you fit God bless your dad's genetics, mm, uh    You make me wanna make you fall in love Oh, late at night, I'm thinking 'bout you, ah-ah Wanna try out my fuzzy pink handcuffs? Oh, I hear you knockin', baby, come on up    I know you want my touch for life If you love me right, then who knows? I might let you make me Juno You know I just might Let you lock me down tonight One of me is cute, but two though? Give it to me, baby You make me wanna make you fall in love (Oh)    I showed my friends, then we high-fived (Ah-ah) Sorry if you feel objеctified (Ah-ah) Can't help myself, hormonеs are high Give me more than just some butterflies   You make me wanna make you fall in love Oh, late at night, I'm thinking 'bout you, ah-ah Wanna try out some freaky positions? Have you ever tried this one?    I know you want my touch for life If you love me right, then who knows? I might let you make me Juno You know I just might Let you lock me down tonight One of me is cute, but two though? Give it to me, baby You make me wanna make you fall in love    Adore me Hold me and explore me Mark your territory (Ah-ah) Tell me I'm the only, only, only, only one (Ah-ah) Adore me Hold me and explore me (Ah-ah) I'm so fuckin' horny Tell me I'm the only, only, only, only one   Ah Ooh-ooh    (Oh, I) I know you want my touch for life If you love me right, then who knows? I might let you make me Juno You know I just might (Might) Let you lock me down tonight One of me is cute, but two though? Give it to me, baby You make me wanna make you fall in love"
"65","Noid","Tyler, The Creator",NA
"66","Shake Dat Ass (Twerk Song)","BossMan Dlow","  Uh Yeah Big Za    I'm a gettin'-money-ass nigga And I ain't chasin' shit unless it's money and liquor Naw, I ain't no referee, but she know I'm official She got both asscheeks bouncin', that's double dribble That ass perfect, baby I love the way you bend it over and twerk it, baby You know you doin' that shit on purpose, baby That pussy wetter than some water,  let me surf it, baby    He don't like me, but his bitch love me Got kicked out the house at fourteen, I was still thuggin' She ate that dick so much, her knee ugly He know I fucked the bitch, he seen me and be mean muggin' Uh, that shit don't mean nothin' You play with me and you know how my team comin' Ayy, that ass sit up better than two bunkbeds Oh, she thick, thick, she eat her cornbread Yeah, yeah, that shit there homemade She get on her knees and make that ass go both ways She mix Patrón with the OJ She mix Amiri with the Dolce If he can't buy you Dior, then he pi-or Or maybe you just a basic bitch Keep a—, nigga play, spray the bitch I'm so clean, look at me, take a pic I got bands in my pants, I'm so lit I'm pullin' up foreign truck, five percent That ass natural, I gotta have it, look how it sit Get on your ass, she gon' crash 'bout that dick She talkin' to me like she like me or somethin' Bae, bend that ass over like you hikin' or somethin' She wanna fuck me and her friend like she dykin' or somethin' Oh, just do it to me, baby, like this Nike or somethin' She talkin' to me like she like me or somethin' Bae, bend that ass over like you hikin' or somethin' She wanna fuck me and her friend like she dykin' or somethin' Oh, just do it to me, baby, like this Nike or somethin'   I'm a gettin'-money-ass nigga And I ain't chasin' shit unless it's money and liquor Naw, I ain't no referee, but she know I'm official She got both asscheeks bouncin', that's double dribble That ass perfect, baby I love the way you bend it over and twerk it, baby You know you doin' that shit on purpose, baby That pussy wetter than some water, let me surf it, baby    That ass perfect, baby That shit perfect, baby Oh, I love the way you twerk it, baby That shit perfect, baby Slow motion, baby Wanna see you bust it open, baby That ass perfect, baby That shit perfect, baby    I'm a gettin'-money-ass nigga And I ain't chasin' shit unless it's money and liquor Naw, I ain't no referee, but she know I'm official She got both asscheeks bouncin', that's double dribble That ass perfect, baby I love the way you bend it over and twerk it, baby You know you doin' that shit on purpose, baby That pussy wetter than some water, let me surf it, baby"
"67","Close To You","Gracie Abrams","  (Close to you) (Close to you)    I don't got a single problem with provocative See the bodies, how they burn, it's just the way it is Smoky, dark, crowded room, I need nothing Under pink light in June (Ah-ah) I was so cool, but then, all of a sudden You saw me look at you    I burn for you And you don't even know my name If you asked me to I'd give up everything    To be close to you Pull the trigger on the gun I gave you when we met I wanna be close to you Break my heart and start a fire, you got me overnight Just let me be    Close to you, close to you, close to you (Just let me be) Oh, close to you, close to you, close to you   And now your mouth is moving, cinematic timing You pull me in and touch my neck, and now I'm dying You should be mine for life, I'll be signing Every dotted line (Ahh) Chemical override, ultraviolet You could be mine tonight    And I burn for you And you don't even know my name If you asked me to I'd give you everything    To be close to you Pull the trigger on the gun I gave you when we met I wanna be close to you Break my heart and start a fire, you got me overnight Just let me be    Close to you, close to you, close to you (Just let me be) Oh, close to you, close to you, close to you    I burn for you Mm   To be close to you Pull the trigger on the gun I gave you when we met I wanna be close to you Break my heart and start a fire, you got me overnight Just let me be    Close to you (To you), close to you (To you) Close to you (To you, just let me be close) Oh, close to you (Ooh), close to you (To you) Close to you (Just let me be) Oh, close to you (Ahh), close to you (Ahh) Close to you (Just let me be)    Oh, close to you, close to you Close to you"
